,smiles
336,N1C=2N=CC=CC2C(C=3N=CN=C(NCC4=CC=CC=C4)C3)=C1
337,C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1
338,FC(F)(F)OC1=CC=C(C2=CC=3C(C4=CCNCC4)=CNC3C=C2)C=C1
340,O=S1(=O)C2=C(C3=CC(=CC=C3N1C)C4=CC=C(C=C4)CC)NN=C2
341,S1C2=C(C(OC3=CC=C(C(F)(F)F)C=C3)=CN=C2)C=C1C=4OC(=NN4)C
342,S(=O)(=O)(NC1=CC=C(C=2C=C3C(NN=C3NC(=O)C)=CC2)C=C1)CCC
343,O=C(NC1=CN=CC=C1)NCCCCCCNC(=O)NC2=CN=CC=C2
344,ClC1=CC=C([C@H](C=2C=CC(=CC2)C3=CNN=C3)CN)C=C1
346,C1=CN=C2NC=C(C=3N=C(N=CC3)NC4CCCCC4)C2=C1
347,N1(N=NC(=C1C2CC2)C=3C=C4C(NN=C4)=CC3)CC5=CC=CC=C5
349,S1C2=C(C(C=3C=C4OCOC4=CC3)=C1)C(=NC=C2C=CC(=O)NC)N
350,O1C2=CC=3C=4[N+](=CC=5C(C4C=CC3C=C2OC1)=CC=C(OC)C5OC)C
351,N1(CCC(CN)(CC1)CC=2C=CC(Cl)=CC2)C=3N=CN=C4NC=CC34
352,ClC=1N=C(N=C(NC2CCCCC2)C1)C=3C4=C(NC3)N=CC=C4
