Knock-out Genes,Method Names,MACCS Scores,The Most Similar Inhibitors,Result Mols
AKT1,Cosine Search,0.81,O=C1NC(=O)C=2N=CC=3C(C21)=CC(OC)=C(OC)C3,COc1ccc2c(OC)c3ccoc3nc2c1OC
AKT1,Cosine Search,0.53,O=C(NC1=CC=C(C=2C=C(C=CC2)C(=O)N)C=C1)NC3=CC(=CC=C3)C,CC(=O)Nc1ccc(CC(O)=O)cc1
AKT1,Cosine Search,0.62,C=1C(=C(C=CN1)N2CCNCC2)NC(C3=CSC(=N3)N4C(=C5C(=C4)C=CC(=C5)OC)O)=O,COC(=O)c1ccc(CSc2nc3CCCc3c(O)n2)cc1
AKT1,Cosine Search,0.7,ClC1=C(OCC)N=C(C(=O)NCC=2C(S(=O)(=O)N)=CC=CC2)C=C1N,Cc1ccc(cc1)S(=O)(=O)N[C@@H]1CC[C@H](CCNC(=O)c2ccccc2F)O[C@@H]1CO
AKT1,Cosine Search,0.7,O(C(=O)N1C=2C(C(C=3N(C4CCCCC4)C=NC3)=C1)=CC=CC2)C(C)(C)C,CN(C(=O)OC(C)(C)C)c1ccc(cc1)c2nc3ccccc3s2
AKT1,Cosine Search,0.66,ClC=1C(OC)=CC(OC)=C(NC2=NN3C(=NN=C3C=C2)C=4C=CC=CC4)C1,COc1ccc(cc1OCC2CC2)C3=Nn4c(nnc4SC3)c5ccccc5Cl
AKT1,Cosine Search,0.74,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
AKT1,Cosine Search,0.74,O1C2=C(C3=C(C=4C(C(=C3[C@H]1COCC=5C=CC=CC5)O)=CC=CC4)O)OC(=C2)O,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(OCC3=O)C(OC4OC5COC(C)OC5C(O)C4O)c6cc7OCOc7cc26
AKT1,Cosine Search,0.67,OC=1C=C(C=C(C(=O)NCC2=CC=CC=C2)C#N)C=CC1O,Oc1ccc(/C=C(C#N)/C(=O)c2ccc(O)c(O)c2)cc1O
AKT1,Cosine Search,0.67,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](CC(C)=CC(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O
